transcript	eQTL_Chr	eQTL_peak	finemapping_gene	finemapping_variant	BLOSUM	VARIANT_IMPACT	class	hotspot_cM	hotspot_Chr	Merged_hotspots_cM
Y73C8C.8.1	IV	7858491	hil-2	6294361	-2	HIGH	Chromatin cofactor	31	IV	30.5, 31, 31.5, 32, 32.5
Y73C8C.8.1	IV	7858491	nhr-264	9293192	-2	HIGH	TF	31	IV	30.5, 31, 31.5, 32, 32.5
Y74C9A.2a.2	V	10343103	jmjd-5	11128895	-1	HIGH	Chromatin cofactor	23	V	23, 23.5
Y74C9A.2a.2	V	10343103	cky-1	12740287	-1	HIGH	TF	23	V	23, 23.5
Y74C9A.2a.2	X	4562158	lfi-1	4976984	-2	HIGH	TF	14	X	14
Y76A2B.2.1	V	14444778	nhr-84	15878383	-2	HIGH	TF	26.5	V	26, 26.5, 27
Y76A2B.2.1	V	14444778	nhr-84	15878383	-2	HIGH	TF	26.5	III	26, 26.5, 27, 27.5
Y80D3A.5.2	IV	16047511	nhr-5	15406553	-2	HIGH	TF	42	IV	41.5, 42, 42.5
Y87G2A.16.1	V	13704401	nhr-84	15878383	-2	HIGH	TF	26	III	26, 26.5, 27, 27.5
Y87G2A.16.1	V	13704401	nhr-84	15878383	-2	HIGH	TF	26	V	26, 26.5, 27
Y87G2A.16.1	V	13704401	nhr-213	15896217	-1	HIGH	TF	26	III	26, 26.5, 27, 27.5
Y87G2A.16.1	V	13704401	nhr-213	15896217	-1	HIGH	TF	26	V	26, 26.5, 27
ZC250.1a.1	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
ZC373.6.2	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
ZC404.3a.2	V	13932083	zip-5	13269711	-2	HIGH	TF	26	III	26, 26.5, 27, 27.5
ZC404.3a.2	V	13932083	zip-5	13269711	-2	HIGH	TF	26	V	26, 26.5, 27
ZC455.6a.1	V	14699598	set-5	14699485	-4	HIGH	Chromatin cofactor	27	V	26, 26.5, 27
ZC455.6a.1	V	14699598	set-5	14699485	-4	HIGH	Chromatin cofactor	27	III	26, 26.5, 27, 27.5
ZC477.3c.1	V	14654518	set-5	14699485	-4	HIGH	Chromatin cofactor	27	V	26, 26.5, 27
ZC477.3c.1	V	14654518	set-5	14699485	-4	HIGH	Chromatin cofactor	27	III	26, 26.5, 27, 27.5
ZC513.4.1	V	13709420	set-5	14699485	-4	HIGH	Chromatin cofactor	26	III	26, 26.5, 27, 27.5
ZC513.4.1	V	13709420	set-5	14699485	-4	HIGH	Chromatin cofactor	26	V	26, 26.5, 27
ZK1055.4.2	III	11891019	ceh-92	11584935	-1	HIGH	TF	41	III	41
ZK1055.4.2	IV	6341638	hil-2	6294361	-2	HIGH	Chromatin cofactor	30.5	IV	30.5, 31, 31.5, 32, 32.5
ZK1055.4.2	IV	6341638	hil-2	6294361	-2	HIGH	Chromatin cofactor	30.5	V	30.5
ZK1067.4.1	V	13722936	set-5	14699485	-4	HIGH	Chromatin cofactor	26	III	26, 26.5, 27, 27.5
ZK1067.4.1	V	13722936	set-5	14699485	-4	HIGH	Chromatin cofactor	26	V	26, 26.5, 27
ZK112.2d.1	I	13227967	nhr-276	14043432	-3	HIGH	TF	39.5	IV	39.5
ZK112.2d.1	I	13227967	nhr-276	14043432	-3	HIGH	TF	39.5	I	39.5
ZK112.2d.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
ZK112.2d.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
ZK1290.7.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
ZK1290.7.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
ZK1307.4.1	V	4425853	nhr-181	4095405	-2	HIGH	TF	15	X	15
ZK1307.4.1	V	4425853	nhr-181	4095405	-2	HIGH	TF	15	V	14.5, 15
ZK154.7.2	V	20001672	ttx-1	20064158	-2	HIGH	TF	44.5	V	44.5, 45, 45.5
ZK177.1.1	V	10487063	jmjd-5	11128895	-1	HIGH	Chromatin cofactor	23	V	23, 23.5
ZK177.1.1	V	10487063	zip-5	13269711	-2	HIGH	TF	23	V	23, 23.5
ZK180.4.2	V	4415549	nhr-181	4095405	-2	HIGH	TF	14.5	V	14.5, 15
ZK180.5a.1	V	14444778	nhr-247	15323857	-1	HIGH	TF	26.5	V	26, 26.5, 27
ZK180.5a.1	V	14444778	nhr-247	15323857	-1	HIGH	TF	26.5	III	26, 26.5, 27, 27.5
ZK180.5a.1	V	14444778	nhr-84	15878383	-2	HIGH	TF	26.5	V	26, 26.5, 27
ZK180.5a.1	V	14444778	nhr-84	15878383	-2	HIGH	TF	26.5	III	26, 26.5, 27, 27.5
ZK180.5a.1	V	14444778	nhr-213	15896217	-1	HIGH	TF	26.5	V	26, 26.5, 27
ZK180.5a.1	V	14444778	nhr-213	15896217	-1	HIGH	TF	26.5	III	26, 26.5, 27, 27.5
ZK180.5c.1	X	14460051	ztf-14	14496428	-2	HIGH	TF	38	X	38
ZK180.6b.1	IV	6341638	hil-2	6294361	-2	HIGH	Chromatin cofactor	30.5	IV	30.5, 31, 31.5, 32, 32.5
ZK180.6b.1	IV	6341638	hil-2	6294361	-2	HIGH	Chromatin cofactor	30.5	V	30.5
ZK218.5.1	IV	4267111	hil-2	6294361	-2	HIGH	Chromatin cofactor	27.5	IV	27.5, 28
ZK218.5.1	IV	4267111	hil-2	6294361	-2	HIGH	Chromatin cofactor	27.5	III	26, 26.5, 27, 27.5
ZK262.19.1	V	20101488	ttx-1	20064158	-2	HIGH	TF	45	V	44.5, 45, 45.5
ZK354.1.1	IV	8752110	C08G9.2	7672792	-1	HIGH	TF	31.5	IV	30.5, 31, 31.5, 32, 32.5
ZK354.1.1	IV	8752110	zim-2	10557342	-3	HIGH	TF	31.5	IV	30.5, 31, 31.5, 32, 32.5
ZK377.2a.2	V	14444778	nhr-247	15323857	-1	HIGH	TF	26.5	V	26, 26.5, 27
ZK377.2a.2	V	14444778	nhr-247	15323857	-1	HIGH	TF	26.5	III	26, 26.5, 27, 27.5
ZK6.3.1	X	12537311	odr-7	12460597	-1	HIGH	TF	28.5	X	28.5
ZK6.3.1	X	12537311	odr-7	12460627	-1	HIGH	TF	28.5	X	28.5
ZK6.3.1	X	12537311	nhr-214	12701618	-1	HIGH	TF	28.5	X	28.5
ZK6.3.1	X	12537311	gei-3	12811833	-3	HIGH	TF	28.5	X	28.5
ZK637.9.1	III	6478910	lin-36	8018436	-1	HIGH	TF	26.5	V	26, 26.5, 27
ZK637.9.1	III	6478910	lin-36	8018436	-1	HIGH	TF	26.5	III	26, 26.5, 27, 27.5
ZK662.6.1	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
ZK666.6.1	I	13227967	nhr-276	14043432	-3	HIGH	TF	39.5	IV	39.5
ZK666.6.1	I	13227967	nhr-276	14043432	-3	HIGH	TF	39.5	I	39.5
ZK666.6.1	V	20060851	ttx-1	20064158	-2	HIGH	TF	45	V	44.5, 45, 45.5
ZK669.4.2	V	20060851	ttx-1	20064158	-2	HIGH	TF	45	V	44.5, 45, 45.5
ZK678.8.1	IV	4430374	jmjd-1.2	4661115	-3	HIGH	Chromatin cofactor	28	IV	27.5, 28
ZK783.1d.1	V	16535765	nhr-176	16071671	-1	HIGH	TF	30.5	IV	30.5, 31, 31.5, 32, 32.5
ZK783.1d.1	V	16535765	nhr-176	16071671	-1	HIGH	TF	30.5	V	30.5
ZK783.1d.1	V	16535765	nhr-176	16071686	-2	HIGH	TF	30.5	IV	30.5, 31, 31.5, 32, 32.5
ZK783.1d.1	V	16535765	nhr-176	16071686	-2	HIGH	TF	30.5	V	30.5
ZK783.1d.1	V	16535765	nhr-176	16072674	-3	HIGH	TF	30.5	IV	30.5, 31, 31.5, 32, 32.5
ZK783.1d.1	V	16535765	nhr-176	16072674	-3	HIGH	TF	30.5	V	30.5
ZK849.4.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
ZK849.4.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
ZK897.1b.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
ZK897.1b.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
ZK899.7.1	V	11516185	nhr-143	8974472	-1	HIGH	TF	23.5	V	23, 23.5
ZK993.1a.1	IV	7858491	hil-2	6294361	-2	HIGH	Chromatin cofactor	31	IV	30.5, 31, 31.5, 32, 32.5
